idade,renda,propriedadeCasa,tempoEmpregado,intensaoInvestimento,grauInvestimento,valorInvestimento,taxaJuros,situacaoInvestimento,retornoInvestimento,jaInvesteOunao,tempoInvestimento
25,100000,ALUGUEL,5.0,CONSOLIDAÇÃO DE DÍVIDAS,B,28000,12.69,0,0.28,N,3
26,110000,ALUGUEL,10.0,EDUCAÇÃO,A,28000,8.9,0,0.25,N,2
26,12000,PRÓPRIO,0.0,CONSOLIDAÇÃO DE DÍVIDAS,A,2700,,1,0.23,N,4
22,108000,ALUGUEL,6.0,EDUCAÇÃO,B,28000,,1,0.26,N,4
23,151200,ALUGUEL,7.0,CONSOLIDAÇÃO DE DÍVIDAS,B,28000,11.11,0,0.19,N,2
24,69000,ALUGUEL,2.0,MELHORIA DE CASA,A,27600,,1,0.4,N,2
21,12000,HIPOTECA,5.0,CONSOLIDAÇÃO DE DÍVIDAS,E,3250,15.68,1,0.27,Y,3
22,70000,ALUGUEL,4.0,EDUCAÇÃO,C,27500,13.06,1,0.39,Y,3
22,240000,PRÓPRIO,6.0,PERSONAL,B,25000,,0,0.1,N,2
26,73200,ALUGUEL,5.0,RISCO,D,27050,15.62,1,0.37,Y,2
24,83000,ALUGUEL,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2
24,73399,ALUGUEL,0.0,RISCO,D,27000,,1,0.37,N,3
23,62500,ALUGUEL,7.0,MÉDICO,B,26000,11.71,1,0.42,N,2
23,120000,ALUGUEL,1.0,EDUCAÇÃO,B,25600,12.69,0,0.21,N,3
24,12360,PRÓPRIO,2.0,MÉDICO,C,1600,13.57,0,0.13,N,3
22,60000,ALUGUEL,0.0,RISCO,B,25475,10.99,1,0.42,N,3
25,234000,HIPOTECA,3.0,MÉDICO,C,20000,14.27,0,0.09,Y,4
24,234000,PRÓPRIO,8.0,MELHORIA DE CASA,B,20000,8.88,0,0.09,N,4
26,234000,HIPOTECA,10.0,MELHORIA DE CASA,B,21600,12.18,0,0.09,N,3
25,221004,HIPOTECA,6.0,CONSOLIDAÇÃO DE DÍVIDAS,D,11900,14.42,1,0.05,Y,3
26,232500,HIPOTECA,0.0,MÉDICO,C,25000,14.17,0,0.11,Y,2
25,230000,HIPOTECA,5.0,MÉDICO,C,35000,13.99,0,0.15,N,4
23,83000,ALUGUEL,7.0,EDUCAÇÃO,B,25300,10.99,1,0.3,N,3
22,12600,HIPOTECA,,PERSONAL,A,2000,5.42,1,0.16,N,4
25,12600,PRÓPRIO,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3
21,42500,ALUGUEL,3.0,EDUCAÇÃO,C,25000,12.73,1,0.59,Y,3
24,41000,ALUGUEL,2.0,MELHORIA DE CASA,D,25000,,1,0.61,N,3
25,12816,PRÓPRIO,0.0,CONSOLIDAÇÃO DE DÍVIDAS,C,3000,12.87,1,0.23,Y,4
24,12960,HIPOTECA,1.0,MELHORIA DE CASA,B,3650,9.91,1,0.28,N,3
26,226000,HIPOTECA,4.0,MELHORIA DE CASA,B,20000,11.49,0,0.09,N,4
25,225000,HIPOTECA,0.0,MELHORIA DE CASA,E,30000,19.91,0,0.13,Y,2
26,213000,HIPOTECA,6.0,EDUCAÇÃO,B,35000,10.65,1,0.16,N,2
24,225000,ALUGUEL,0.0,MÉDICO,B,6000,,0,0.03,N,4
24,12960,HIPOTECA,0.0,CONSOLIDAÇÃO DE DÍVIDAS,B,4500,11.83,1,0.35,N,4
23,12996,PRÓPRIO,0.0,CONSOLIDAÇÃO DE DÍVIDAS,C,2400,13.49,1,0.18,Y,2
22,42000,ALUGUEL,6.0,MÉDICO,D,25000,14.59,1,0.6,Y,2
26,48000,ALUGUEL,2.0,EDUCAÇÃO,B,25000,9.64,1,0.52,N,4
25,12996,PRÓPRIO,1.0,MÉDICO,D,3600,14.59,1,0.28,N,3
22,12996,PRÓPRIO,1.0,EDUCAÇÃO,B,4750,,1,0.37,N,3
25,42360,ALUGUEL,1.0,EDUCAÇÃO,E,25000,16.35,1,0.59,Y,3
21,49000,ALUGUEL,4.0,EDUCAÇÃO,B,25000,10.99,1,0.51,N,2
25,225000,HIPOTECA,0.0,RISCO,F,25000,18.67,0,0.11,N,2
26,225000,ALUGUEL,1.0,EDUCAÇÃO,A,3000,9.32,0,0.01,N,4
23,225000,ALUGUEL,8.0,CONSOLIDAÇÃO DE DÍVIDAS,A,7500,8.63,0,0.03,N,2
26,225000,HIPOTECA,2.0,RISCO,B,25000,10.08,0,0.11,N,2
22,49464,ALUGUEL,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3
23,50000,ALUGUEL,1.0,CONSOLIDAÇÃO DE DÍVIDAS,A,25000,7.9,1,0.5,N,3
25,50000,ALUGUEL,4.0,MELHORIA DE CASA,A,25000,5.99,1,0.5,N,2
24,44000,ALUGUEL,2.0,CONSOLIDAÇÃO DE DÍVIDAS,D,25000,15.33,1,0.57,N,2
23,50000,ALUGUEL,1.0,RISCO,B,25000,11.83,1,0.5,N,4
22,50004,ALUGUEL,0.0,RISCO,B,25000,10.36,1,0.5,N,2
22,50004,ALUGUEL,3.0,RISCO,C,25000,12.23,1,0.5,N,3
22,52000,ALUGUEL,2.0,EDUCAÇÃO,B,25000,11.11,1,0.48,N,4
23,13200,PRÓPRIO,3.0,CONSOLIDAÇÃO DE DÍVIDAS,A,4950,7.9,1,0.38,N,4
24,220000,HIPOTECA,1.0,EDUCAÇÃO,B,25000,11.58,0,0.11,N,2
23,216000,HIPOTECA,5.0,CONSOLIDAÇÃO DE DÍVIDAS,A,21000,8.9,0,0.1,N,3
25,216000,HIPOTECA,2.0,EDUCAÇÃO,D,25000,16.07,0,0.12,N,3
26,216000,HIPOTECA,10.0,EDUCAÇÃO,C,20000,14.22,0,0.09,Y,2
23,215000,HIPOTECA,7.0,MÉDICO,C,35000,14.79,0,0.16,Y,3
26,215000,HIPOTECA,11.0,EDUCAÇÃO,A,12000,7.88,0,0.06,N,2
23,52000,ALUGUEL,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2
26,46000,ALUGUEL,2.0,CONSOLIDAÇÃO DE DÍVIDAS,D,25000,11.86,1,0.54,N,4
22,53000,ALUGUEL,5.0,EDUCAÇÃO,C,25000,13.43,1,0.47,Y,4
26,47000,ALUGUEL,0.0,MELHORIA DE CASA,D,25000,15.28,1,0.53,Y,2
23,47000,ALUGUEL,1.0,RISCO,E,25000,17.93,1,0.53,N,2
23,13200,HIPOTECA,2.0,EDUCAÇÃO,B,1400,9.25,0,0.11,N,4
21,13200,PRÓPRIO,0.0,RISCO,C,4500,12.98,1,0.34,N,4
22,210000,HIPOTECA,6.0,RISCO,B,16000,10.62,0,0.08,N,4
26,210000,PRÓPRIO,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4
26,48000,ALUGUEL,5.0,RISCO,F,25000,18.43,1,0.52,N,2
22,54996,ALUGUEL,6.0,EDUCAÇÃO,B,25000,,1,0.45,N,4
24,55000,ALUGUEL,4.0,MELHORIA DE CASA,D,25000,,1,0.45,Y,4
23,55000,ALUGUEL,4.0,EDUCAÇÃO,B,25000,11.36,1,0.45,N,3
23,55000,ALUGUEL,4.0,EDUCAÇÃO,D,25000,15.65,1,0.45,Y,3
24,55164,ALUGUEL,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4
26,56000,ALUGUEL,4.0,CONSOLIDAÇÃO DE DÍVIDAS,C,25000,12.87,1,0.45,N,2
24,203500,PRÓPRIO,8.0,MÉDICO,C,20000,13.04,0,0.1,N,3
23,190000,HIPOTECA,5.0,EDUCAÇÃO,F,22000,17.58,1,0.12,Y,3
23,13920,PRÓPRIO,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4
24,60000,ALUGUEL,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3
24,60000,ALUGUEL,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3
26,54000,ALUGUEL,7.0,CONSOLIDAÇÃO DE DÍVIDAS,D,25000,14.83,1,0.46,Y,2
23,14000,PRÓPRIO,2.0,CONSOLIDAÇÃO DE DÍVIDAS,D,4000,,1,0.29,N,3
24,200000,ALUGUEL,8.0,MÉDICO,B,12000,12.69,0,0.06,N,2
24,200000,HIPOTECA,8.0,MELHORIA DE CASA,C,12000,13.49,0,0.06,N,2
21,200000,HIPOTECA,5.0,EDUCAÇÃO,C,16000,14.65,0,0.08,N,4
25,54000,ALUGUEL,3.0,MELHORIA DE CASA,E,25000,16.82,1,0.46,N,4
23,60000,ALUGUEL,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3
23,60000,ALUGUEL,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4
21,60000,ALUGUEL,6.0,EDUCAÇÃO,B,25000,10.99,1,0.42,N,4
25,61959,ALUGUEL,9.0,MÉDICO,C,25000,12.73,1,0.4,N,2
22,56400,ALUGUEL,2.0,MELHORIA DE CASA,D,25000,14.96,1,0.44,Y,3
23,200000,HIPOTECA,7.0,EDUCAÇÃO,A,28000,,0,0.14,N,2
21,200000,HIPOTECA,2.0,CONSOLIDAÇÃO DE DÍVIDAS,C,25000,13.99,0,0.13,N,2
24,200000,HIPOTECA,3.0,RISCO,A,24000,7.49,0,0.12,N,4
26,200000,HIPOTECA,4.0,EDUCAÇÃO,C,15000,14.79,0,0.07,N,3
25,200000,HIPOTECA,2.0,CONSOLIDAÇÃO DE DÍVIDAS,B,15500,11.99,0,0.08,N,2
24,200000,ALUGUEL,8.0,EDUCAÇÃO,A,10000,8.49,0,0.05,N,4
24,66000,ALUGUEL,3.0,EDUCAÇÃO,B,25000,9.91,1,0.38,N,2
22,66000,ALUGUEL,6.0,EDUCAÇÃO,C,25000,13.06,1,0.38,Y,3
22,200000,HIPOTECA,6.0,CONSOLIDAÇÃO DE DÍVIDAS,A,9000,6.17,0,0.04,N,4
144,200000,HIPOTECA,4.0,EDUCAÇÃO,B,6000,11.86,0,0.03,N,2
25,200000,ALUGUEL,5.0,EDUCAÇÃO,D,18000,16.32,0,0.09,N,3
25,200000,HIPOTECA,2.0,RISCO,B,12000,10.38,0,0.06,N,2
25,200000,HIPOTECA,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3
24,200000,HIPOTECA,8.0,CONSOLIDAÇÃO DE DÍVIDAS,B,20000,,0,0.1,N,3
24,60000,ALUGUEL,2.0,CONSOLIDAÇÃO DE DÍVIDAS,E,25000,,1,0.42,Y,2
21,14400,PRÓPRIO,0.0,MELHORIA DE CASA,B,3000,,1,0.21,N,4
26,66996,ALUGUEL,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2
23,67000,ALUGUEL,3.0,EDUCAÇÃO,A,25000,7.9,1,0.37,N,4
24,67000,ALUGUEL,2.0,RISCO,B,25000,10.99,1,0.37,N,3
24,68000,ALUGUEL,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3
25,69000,ALUGUEL,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2
25,200000,HIPOTECA,0.0,EDUCAÇÃO,B,12000,11.48,0,0.06,N,3
26,188000,HIPOTECA,10.0,RISCO,E,20000,17.74,1,0.11,N,2
26,200000,HIPOTECA,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3
25,69996,ALUGUEL,9.0,EDUCAÇÃO,D,25000,15.21,1,0.36,N,3
22,14400,PRÓPRIO,2.0,MÉDICO,B,4000,10.99,1,0.28,N,3
24,70000,ALUGUEL,3.0,EDUCAÇÃO,B,25000,11.86,1,0.36,N,4
24,14400,PRÓPRIO,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3
24,56100,ALUGUEL,7.0,MÉDICO,D,25000,16.49,1,0.38,N,4
25,66000,ALUGUEL,9.0,RISCO,D,25000,15.33,1,0.38,Y,2
26,66000,ALUGUEL,3.0,MELHORIA DE CASA,B,25000,11.58,1,0.38,N,4
25,14400,PRÓPRIO,7.0,EDUCAÇÃO,A,5375,5.79,1,0.37,N,2
25,72612,ALUGUEL,9.0,MÉDICO,C,25000,13.11,1,0.34,N,2
23,74000,ALUGUEL,3.0,MÉDICO,B,25000,10.36,1,0.34,N,3
25,75000,ALUGUEL,9.0,CONSOLIDAÇÃO DE DÍVIDAS,B,25000,10.36,1,0.33,N,2
24,192000,ALUGUEL,0.0,MÉDICO,C,22000,,0,0.11,Y,2
21,192000,HIPOTECA,123.0,RISCO,A,20000,6.54,0,0.1,N,4
25,191000,HIPOTECA,1.0,MÉDICO,B,10000,12.53,0,0.05,N,4
26,190300,HIPOTECA,5.0,PERSONAL,A,15000,,0,0.08,N,3
22,190000,HIPOTECA,3.0,RISCO,C,10000,,0,0.05,N,3
24,75000,ALUGUEL,4.0,EDUCAÇÃO,B,25000,10.25,1,0.33,N,4
22,71000,ALUGUEL,1.0,EDUCAÇÃO,D,25000,15.95,1,0.35,Y,4
26,190000,HIPOTECA,3.0,RISCO,B,20000,12.18,0,0.11,N,4
23,189996,PRÓPRIO,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3
23,78000,ALUGUEL,7.0,CONSOLIDAÇÃO DE DÍVIDAS,C,25000,,1,0.32,Y,2
23,78000,ALUGUEL,1.0,RISCO,B,25000,10.62,1,0.32,N,3
23,78504,ALUGUEL,7.0,RISCO,B,25000,10.74,1,0.32,N,3
25,186000,PRÓPRIO,9.0,RISCO,B,10000,10.25,0,0.05,N,4
24,185000,HIPOTECA,,EDUCAÇÃO,B,35000,12.42,0,0.19,N,2
25,185000,ALUGUEL,6.0,RISCO,C,15000,15.27,0,0.08,N,2
24,62050,ALUGUEL,8.0,MÉDICO,D,25000,15.33,1,0.34,Y,2
23,79416,ALUGUEL,7.0,RISCO,D,25000,15.21,1,0.31,Y,2
21,14400,PRÓPRIO,4.0,RISCO,C,6250,14.72,1,0.43,N,2
24,79631,ALUGUEL,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2
24,79632,ALUGUEL,0.0,EDUCAÇÃO,C,25000,13.35,1,0.31,N,4
21,14400,HIPOTECA,0.0,MÉDICO,C,1500,,0,0.1,N,4
24,80000,ALUGUEL,6.0,EDUCAÇÃO,A,25000,6.62,1,0.31,N,2
26,80000,ALUGUEL,5.0,CONSOLIDAÇÃO DE DÍVIDAS,C,25000,13.61,1,0.31,N,4
22,185000,ALUGUEL,4.0,MÉDICO,B,25000,11.36,0,0.14,N,2
26,185000,PRÓPRIO,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2
24,184992,ALUGUEL,7.0,MELHORIA DE CASA,D,22000,14.46,0,0.12,Y,4
23,184000,PRÓPRIO,5.0,EDUCAÇÃO,B,2500,11.83,0,0.01,N,2
24,172000,HIPOTECA,6.0,CONSOLIDAÇÃO DE DÍVIDAS,C,20000,13.47,1,0.12,Y,4
24,183000,HIPOTECA,2.0,MÉDICO,B,20000,11.49,0,0.11,N,3
22,183000,HIPOTECA,3.0,EDUCAÇÃO,A,1000,,0,0.01,N,2
25,182952,HIPOTECA,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3
23,74004,ALUGUEL,7.0,CONSOLIDAÇÃO DE DÍVIDAS,E,25000,16.35,1,0.34,N,4
26,74004,ALUGUEL,10.0,CONSOLIDAÇÃO DE DÍVIDAS,D,25000,,1,0.34,Y,4
25,81000,ALUGUEL,5.0,CONSOLIDAÇÃO DE DÍVIDAS,A,25000,7.29,1,0.31,N,3
23,81600,ALUGUEL,1.0,MÉDICO,B,25000,11.36,1,0.31,N,3
24,82000,ALUGUEL,8.0,RISCO,B,25000,10.25,0,0.3,N,2
24,83000,ALUGUEL,5.0,EDUCAÇÃO,B,25000,11.12,0,0.3,N,3
24,83000,ALUGUEL,5.0,PERSONAL,D,25000,12.92,0,0.3,Y,3
24,180000,ALUGUEL,8.0,EDUCAÇÃO,E,18000,18.64,0,0.1,Y,4
23,180000,HIPOTECA,8.0,PERSONAL,A,28000,7.51,0,0.16,N,3
23,14400,PRÓPRIO,2.0,MELHORIA DE CASA,E,4000,16.7,1,0.28,N,2
22,14400,PRÓPRIO,0.0,PERSONAL,B,2100,11.14,0,0.15,N,4
22,84500,ALUGUEL,6.0,PERSONAL,F,25000,18.3,0,0.3,N,4
24,85000,ALUGUEL,5.0,MÉDICO,B,25000,10.62,0,0.29,N,4
24,180000,HIPOTECA,7.0,RISCO,B,14000,11.99,0,0.08,N,2
26,180000,HIPOTECA,2.0,RISCO,B,12000,9.63,0,0.07,N,4
25,142800,HIPOTECA,9.0,MÉDICO,F,10000,18.25,1,0.06,N,4
23,14664,HIPOTECA,0.0,CONSOLIDAÇÃO DE DÍVIDAS,C,6000,,1,0.41,N,4
24,87000,ALUGUEL,8.0,MELHORIA DE CASA,D,25000,14.84,0,0.29,N,3
24,75000,ALUGUEL,0.0,RISCO,E,25000,14.7,1,0.33,Y,3
23,76000,ALUGUEL,7.0,CONSOLIDAÇÃO DE DÍVIDAS,D,25000,16.02,1,0.33,N,4
23,66215,ALUGUEL,1.0,MÉDICO,D,25000,15.37,1,0.32,Y,2
25,90000,ALUGUEL,9.0,MÉDICO,B,25000,10.99,0,0.28,N,4
21,15000,PRÓPRIO,0.0,MELHORIA DE CASA,A,6200,7.9,1,0.41,N,2
26,180000,PRÓPRIO,2.0,PERSONAL,B,25000,10.99,0,0.14,N,4
24,180000,PRÓPRIO,8.0,EDUCAÇÃO,B,21000,11.48,0,0.12,N,3
25,180000,PRÓPRIO,9.0,MÉDICO,C,20000,14.26,0,0.11,Y,4
26,180000,PRÓPRIO,0.0,MELHORIA DE CASA,A,10000,8.0,0,0.06,N,4
25,180000,HIPOTECA,3.0,RISCO,B,9950,11.26,0,0.06,N,2
23,15000,PRÓPRIO,7.0,MÉDICO,B,4475,,1,0.3,N,4
23,78000,ALUGUEL,2.0,RISCO,D,25000,16.32,1,0.32,Y,3
25,66300,ALUGUEL,3.0,MÉDICO,E,25000,17.93,1,0.32,Y,4
23,90000,ALUGUEL,0.0,CONSOLIDAÇÃO DE DÍVIDAS,B,25000,11.36,0,0.28,N,3
24,79000,ALUGUEL,9.0,CONSOLIDAÇÃO DE DÍVIDAS,D,25000,14.96,1,0.32,Y,4
24,91800,ALUGUEL,4.0,PERSONAL,C,25000,13.43,0,0.27,Y,3
25,92000,ALUGUEL,6.0,MELHORIA DE CASA,B,25000,12.69,0,0.27,N,3
24,92000,ALUGUEL,1.0,RISCO,C,25000,12.73,0,0.27,Y,4
23,93600,ALUGUEL,3.0,RISCO,D,25000,15.21,0,0.27,N,4
23,15000,HIPOTECA,1.0,MÉDICO,C,1750,12.68,0,0.12,Y,3
23,70550,ALUGUEL,3.0,MÉDICO,F,25000,19.04,1,0.3,Y,4
25,83800,ALUGUEL,2.0,CONSOLIDAÇÃO DE DÍVIDAS,D,25000,15.95,1,0.3,Y,3
26,175000,HIPOTECA,3.0,RISCO,A,2600,8.9,0,0.01,N,4
25,175000,HIPOTECA,10.0,MELHORIA DE CASA,A,8000,7.9,0,0.05,N,2
22,175000,HIPOTECA,6.0,EDUCAÇÃO,B,18000,,0,0.1,N,2
23,175000,HIPOTECA,8.0,PERSONAL,B,21000,11.99,0,0.12,N,3
23,15000,PRÓPRIO,4.0,CONSOLIDAÇÃO DE DÍVIDAS,C,4000,13.98,1,0.27,N,4
23,15000,PRÓPRIO,4.0,RISCO,B,4600,10.99,1,0.31,N,2
22,88000,ALUGUEL,6.0,CONSOLIDAÇÃO DE DÍVIDAS,D,25000,15.58,1,0.28,Y,2
25,74800,ALUGUEL,2.0,MÉDICO,B,25000,10.99,1,0.28,N,2
25,88000,ALUGUEL,0.0,RISCO,D,25000,14.96,1,0.28,N,4
25,15000,PRÓPRIO,2.0,MELHORIA DE CASA,D,1750,15.31,0,0.12,Y,4
26,88000,ALUGUEL,2.0,RISCO,D,25000,15.65,1,0.28,N,3
25,100000,ALUGUEL,1.0,RISCO,B,25000,9.33,0,0.25,N,4
23,15000,HIPOTECA,0.0,PERSONAL,C,3600,13.47,1,0.24,N,4
24,102400,ALUGUEL,8.0,PERSONAL,B,25000,10.36,0,0.24,N,3
24,92000,ALUGUEL,1.0,MELHORIA DE CASA,E,25000,16.77,1,0.27,Y,4
